来源	文件	位置	原文	参考译文	填写中文	长度状态
UI	lang0.pak	DST_BAG_SLOT	Bag Slot	胶囊栏位	胶囊栏位	ok
UI	lang0.pak	DST_BAG_TITLE	Inventory	胶囊盒	胶囊盒	ok
UI	lang0.pak	DST_BASE_POSE	Basic Position	基本动作	基本动作	ok
UI	lang0.pak	DST_BATTLEATTR_ARMOR	Armor Properties: 		防具属性：	ok
UI	lang0.pak	DST_BATTLEATTR_ATTACK_RATE	Damage %.0f%%	攻击力 %.0f%%	攻击力 %.0f%%	ok
UI	lang0.pak	DST_BATTLEATTR_ATTACK_RATE_TARGET	 Attack Attribute: %.0f%%		 攻击属性：%.0f%%	ok
UI	lang0.pak	DST_BATTLEATTR_ATTR	Attributes: 		属性：	ok
UI	lang0.pak	DST_BATTLEATTR_DEFENCE_RATE	Defense %.0f%%	防御力 %.0f%%	防御力 %.0f%%	ok
UI	lang0.pak	DST_BATTLEATTR_DEFENCE_RATE_TARGET	 Defense Attribute: %.0f%%		 防御属性：%.0f%%	ok
UI	lang0.pak	DST_BATTLEATTR_ON_TARGET	On Target	给此对象	给此对象	ok
UI	lang0.pak	DST_BATTLEATTR_WEAPON	Weapon Properties: 		武器属性：	ok
UI	lang0.pak	DST_BATTLE_ATTRIBUTE_CHANG_ZENNY_ERR	Insufficient Zeni.	持有索尼不足以进行赋予属性。	索尼不足。	ok
UI	lang0.pak	DST_BATTLE_CAN_NOT_ATTACK_TARGET	Can't attack.	此对象无法攻击。	无法攻击。	ok
UI	lang0.pak	DST_BAZOOKA	Bazooka	火箭炮	火箭炮	ok
UI	lang0.pak	DST_BENEFIT_ADD_EXP_PC	%d%% Bonus EXP	额外获得经验值 %d%% [网咖]	经验+%d%%	ok
UI	lang0.pak	DST_BENEFIT_ADD_USE_NETSTORE_PC	NetStore Available	时间仓库[网咖]	时间仓库[网咖]	ok
UI	lang0.pak	DST_BENEFIT_ADD_VEHICLE_SPEED_PC	%d%% Bonus Vehicle speed	交通工具移动速度增加 %d%% [网咖]	载具速度加成 %d%%	ok
UI	lang0.pak	DST_BENEFIT_ADD_ZENNY_PC	%d%% Bonus Zeni	额外获得索尼%d%% [网咖]	索尼加成 %d%%	ok
UI	lang0.pak	DST_BENEFIT_BASIC_TITLE	Bonus	基本优惠	加成	ok
UI	lang0.pak	DST_BIND_SUCCESS	This is your new Home Teleport area!		这里已设为你的新回城传送区域！	ok
UI	lang0.pak	DST_BIND_TEXT	"[align = ""center""][font size = ""12"" color=""f4d762""]Home Teleport[/font][br][br][font size = ""10"" color=""269eff""]When the player dies he can re-spawn[br]to his chosen Popo Stone.[/font][br][br][font size = ""10"" color=""ffffff""]Change your Home Teleport[br]Location to this Area?[/font]"		"[align = ""center""][font size = ""12"" color=""f4d762""]回城传送[/font][br][br][font size = ""10"" color=""269eff""]玩家死亡后可以复活[br]到已选择的波波石。[/font][br][br][font size = ""10"" color=""ffffff""]更改你的回城传送[br]位置到此区域？[/font]"	ok
UI	lang0.pak	DST_BLEED_DEFENCE	Bleeding Def.	出血防御力	出血防御力	ok
UI	lang0.pak	DST_BLOCK_MODE_COOLTIME	Block is on cooldown	防卫冷却时间尚未结束。	格挡正在冷却	ok
UI	lang0.pak	DST_BLOCK_WATCH_MY_EQUIP	Scan jammed	禁止查看装备	扫描受阻	ok
UI	lang0.pak	DST_CCBD_FINISH_MSG	%s CLEARED CC Battle Dungeon 40 Floor		%s 已通关CC战斗副本40层	ok
UI	lang0.pak	DST_BROADCAST_CCBD_CLEAR	%s CLEARED CC Battle Dungeon 200 Floor	%s 挑战CC战斗副本200层成功。	%s 挑战CC战斗副本200层成功。	ok
UI	lang0.pak	DST_BROADCAST_CCBD_CLEAR_USER_NOT_FOUND	CC Battle Dungeon 200 Floor WAS CLEARED	没有挑战CC战斗副本150层成功的玩家。	没有挑战CC战斗副本150层成功的玩家。	ok
UI	lang0.pak	DST_BUDOKAI_INDI_DOJO_RECOMMNED	Dojo Finalists	道场推荐决赛选手	道场决赛选手	ok
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_CANCEL	"[align =""center""][font size=""12""color=""f4d762""]Cancel Registration[/font][br][br][font size=""10""color=""f36a7c""]Are you sure to cancel the registration?[/font]"		"[align =""center""][font size=""12""color=""f4d762""]取消报名[/font][br][br][font size=""10""color=""f36a7c""]确定取消报名吗？[/font]"	ok
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_CLASS	Class	职业	职业	ok
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_GUILD	Guild	所属流派	公会	ok
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_LEVEL	Level	等级	等级	ok
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_NAME	Name	姓名	姓名	ok
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_RANKING	Battle Points	战斗点数	战斗点数	ok
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_RECORD	Battle Rank	排名战战绩	排名战战绩	ok
UI	lang0.pak	DST_BUDOKAI_INDI_REQ_RECORD_DATA	%dW %dL %dD	%d战 %d胜 %d败	%dW%dL%dD	ok
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_16	RO16		16强	ok
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_16_WAIT	RO16 standby		16强待命	ok
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_32	RO32		32强	ok
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_32_WAIT	RO32 standby		32强待命	ok
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_8	RO8		8强	ok
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_8_WAIT	RO8 standby		8强待命	ok
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_END	Awards		奖励	ok
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_FINAL	Finals		决赛	ok
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_SEMIFINAL	Semi-finals		半决赛	ok
UI	lang0.pak	DST_BUDOKAI_MAJORMATCH_INFO_TITLE_SEMIFINAL_WAIT	Semi-final standby		半决赛待命	ok
UI	lang0.pak	DST_BUDOKAI_MINORMATCH_ALIVE_TITLE	Alive	生存者	存活	ok
UI	lang0.pak	DST_BUDOKAI_MINORMATCH_ENEMY_NAME_TITLE	Name	姓名	姓名	ok
UI	lang0.pak	DST_BUDOKAI_MINORMATCH_INFO_TITLE	Battle Royale		大乱斗	ok
UI	lang0.pak	DST_BUDOKAI_MINORMATCH_INFO_TITLE_BATTLE	Qualifiers		预选赛	ok
UI	lang0.pak	DST_BUDOKAI_MINORMATCH_INFO_TITLE_WAIT	Qualifier standby		预选赛待命	ok
UI	lang0.pak	DST_BUDOKAI_MINORMATCH_KOCOUNTER_TITLE	K.O		K.O	ok
UI	lang0.pak	DST_BUDOKAI_MINORMATCH_TOTAL_TITLE	Total	全部玩家	整体	ok
UI	lang0.pak	DST_BUDOKAI_MINOR_DICE_READY_NOTIFY	%u ready up		%u 准备上	ok
UI	lang0.pak	DST_BUDOKAI_MINOR_DICE_SCORE_NOTIFY	%s Score Results %u		%s 分数结果 %u	ok
UI	lang0.pak	DST_BUDOKAI_MINOR_DICE_SCORE_NOTIFY_TEAM	%s Team Result ( %u )		%s 团队结果（%u）	ok
UI	lang0.pak	DST_BUDOKAI_MINOR_DICE_WIN_NOTIFY	%s Won %u		%s胜%u	ok
UI	lang0.pak	DST_BUDOKAI_MINOR_DICE_WIN_NOTIFY_TEAM	%s team has won %u		%s 队已获胜 %u	ok
UI	lang0.pak	DST_BUDOKAI_MINOR_KILL_ANNOUNCE	%s Killed %s 		%s 击败了 %s 	ok
UI	lang0.pak	DST_BUDOKAI_MINOR_WAIT_FOR_DICE_NOTIFY	Please Wait I'm Busy		请稍等，我正忙	ok
UI	lang0.pak	DST_BUDOKAI_MINOR_WAIT_FOR_KO	%d seconds to KO	由于昏迷的后遗症，%d秒间将无法起身。	%d 秒后 K.O	ok
UI	lang0.pak	DST_BUDOKAI_MINOR_WAIT_FOR_RINGOUT	%d seconds to ring out	您现在在场外，%d秒间无法参予战斗。	%d 秒后出界	ok
UI	lang0.pak	DST_BUDOKAI_MUDOSA_INFO	Mudosa Village %d		武道寺村 %d	ok
UI	lang0.pak	DST_BUDOKAI_MUDOSA_TELEPOR_INFO	TP INFO: 200,000 Zeni Fee		传送费:200,000索尼	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_BUTTON_INDIREQ	Join Solo	个人申请	个人申请	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_BUTTON_TEAMREQ	Join Team	队伍申请	队伍申请	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_BUTTON_TICKET	Receipt	开放报名	收据	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_BUTTON_TOURNAMENT	Tournament	赛程表	赛程表	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_CAN_ONLY_LEADER	Party Leader Apply	限队长进行申请。	限队长进行申请。	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_HEADLINE_AWARD	Budokai is closed!	天下第一武道会闭幕	天下第一武道会闭幕	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_HEADLINE_DOJORECOMMEND	Best Dojo	天下第一武道会道场推荐名单申请时间	最佳道场	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_HEADLINE_MAJOR	Tournament Qualifiers	天下第一武道会决赛期间	锦标赛预选赛	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_HEADLINE_OPENNOTICE	Budokai is open!		武道会已开放！	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_HEADLINE_REGISTER	Register now!	天下第一武道会预赛申请时间	立即报名！	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_INDI_STATE	You are a solo %s		你是单人参赛者 %s	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_FINAL_MATCH	%s final match started.		%s 决赛已开始。	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_MAJOR_MATCH	%s %s in progress.		%s %s 进行中。	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_MATCH_END	%s is over.		%s 已结束。	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_MINOR_MATCH	%s qualifiers started.		%s 预选赛已开始。	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_REGISTER	%s registration ends in %s.		%s 报名结束在 %s.	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_SEMIFINAL_MATCH	%s semi-finals started.		%s 半决赛已开始。	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_WAIT_FINAL_MATCH	%s finals start in %s.		%s 决赛开始在 %s.	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_WAIT_MAJOR_MATCH	%s %s will start in %s.		%s %s 将开始在 %s.	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_WAIT_MINOR_MATCH	%s qualifiers will start in %s.		%s 预选赛将开始在 %s.	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_STATE_WAIT_SEMIFINAL_MATCH	%s semi-finals start in %s.		%s 半决赛开始在 %s.	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_INFO_TEAM_STATE	You're in a Party %s		你已在队伍 %s	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_MUDOSA_ENTER_LEFT_TIME	Entry Time: %s left.	武道寺进场时间 : 剩 %s  。	入场时间：%s 剩余。	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NEXT_MUDOSA_OPEN	Next round: %s	下一次武道会举办时间 : %s	下一回合：%s	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOPLAN	Undecided	未定	未定	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_GUIDE_DOJO_TITLE	Dojo		道场	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_GUIDE_MINOR_TITLE	Application Period		申请期间	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_GUIDE_TIME	%d month %d day %s %d:%02d		%d月%d日 %s %d:%02d	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_GUIDE_TIME_FULL	%s ~ %s		%s ~ %s	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_INDI_REGISTER	Sign Up		报名	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_INDI_STATE	State Info		状态信息	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_INDI_WINNER	1st/2nd		1/2名	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_NOT_PRIZE	No Winners		无获胜者	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_PRIZE_SECOND_WINNER	2nd: %s		第2：%s	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_PRIZE_TEAM_SECOND_WINNER	2nd: %s		第2：%s	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_PRIZE_TEAM_WINNER	1st: %s		第1：%s	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_PRIZE_WINNER	1st: %s		第1：%s	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_TEAM_REGISTER	Team Sign Up		团队报名	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_TEAM_STATE	Team State Info		团队状态信息	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_TEAM_WINNER	Team 1st/2nd		团队1/2名	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NOTICE_WAIT_GUIDE	%s duration: %s		%s 持续时间：%s	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_NTOCIE_NOT_PRIZE_TEAM	No Winning Party	无得奖队伍。	无得奖队伍。	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_TITLE	Tenkaichi Budokai Nr. %d 		第%d届天下第一武道会 	ok
UI	lang0.pak	DST_BUDOKAI_NEWS_YOU_ARE_NOT_ENTRANT	You have not signed up.	尚未在天下第一武道会中申请参赛。	你尚未报名。	ok
UI	lang0.pak	DST_BUDOKAI_NOTICE_DATA_LOADING	Loading Data...		正在读取数据...	ok
UI	lang0.pak	DST_BUDOKAI_NOTICE_DOJO_RECOMMEND	%s recommendations.		%s 推荐。	ok
UI	lang0.pak	DST_BUDOKAI_NOTICE_END	%s %s Awards in progress.		%s %s 奖励进行中。	ok
UI	lang0.pak	DST_BUDOKAI_NOTICE_FINAL_MATCH	%s %s finals have started.		%s %s 决赛已开始。	ok
UI	lang0.pak	DST_BUDOKAI_NOTICE_MAJOR_MATCH	%s %s %s has begun.		%s %s %s 已开始。	ok
UI	lang0.pak	DST_BUDOKAI_NOTICE_MINOR_MATCH	%s %s qualifiers have started.		%s %s 预选赛已开始。	ok
UI	lang0.pak	DST_BUDOKAI_NOTICE_OPEN_NOTICE	Tournament %s is starting.		锦标赛 %s 即将开始。	ok
UI	lang0.pak	DST_BUDOKAI_NOTICE_PARTY	Party		队伍	ok
UI	lang0.pak	DST_BUDOKAI_NOTICE_REGISTER	%s %s apply for qualifiers.		%s %s 应用用于预选赛。	ok
UI	lang0.pak	DST_BUDOKAI_NOTICE_SEMIFINAL_MATCH	%s %s semi-finals have started.		%s %s 半决赛已开始。	ok
UI	lang0.pak	DST_BUDOKAI_NOTICE_SOLO	Solo		单人	ok
UI	lang0.pak	DST_BUDOKAI_NOTICE_WAIT_FINAL_MATCH	%s %s finals will start soon.		%s %s 决赛即将开始。	ok
UI	lang0.pak	DST_BUDOKAI_NOTICE_WAIT_MAJOR_MATCH	%s %s %s will start soon.		%s %s %s 即将开始。	ok
UI	lang0.pak	DST_BUDOKAI_NOTICE_WAIT_MINOR_MATCH	%s %s qualifiers will start soon.		%s %s 预选赛即将开始。	ok
UI	lang0.pak	DST_BUDOKAI_NOTICE_WAIT_SEMIFINAL_MATCH	%s %s semi-finals will start soon.		%s %s 半决赛即将开始。	ok
UI	lang0.pak	DST_BUDOKAI_PC_STATE_16_DROPOUT	RO16 contestant	16强落选	16强落选	ok
UI	lang0.pak	DST_BUDOKAI_PC_STATE_16_ENTRY	RO16 finalist	16强	16强	ok
UI	lang0.pak	DST_BUDOKAI_PC_STATE_32_DROPOUT	RO32 contestant	32强落选	32强落选	ok
UI	lang0.pak	DST_BUDOKAI_PC_STATE_32_ENTRY	RO32 finalist	32强	32强	ok
UI	lang0.pak	DST_BUDOKAI_PC_STATE_8_DROPOUT	RO8 contestant	8强落选	8强落选	ok
UI	lang0.pak	DST_BUDOKAI_PC_STATE_8_ENTRY	RO8 finalist	8强	8强	ok
UI	lang0.pak	DST_BUDOKAI_PC_STATE_FINAL_ENTRY	Finalist	决胜战入选	决赛选手	ok
UI	lang0.pak	DST_BUDOKAI_PC_STATE_FINAL_WINNER	Winner	优胜	优胜	ok
UI	lang0.pak	DST_BUDOKAI_PC_STATE_MINOR_APPLICANT	Qualifier	预赛报名者	预选赛	ok
UI	lang0.pak	DST_BUDOKAI_PC_STATE_MINOR_DROPOUT	Contestant	预赛资格	预赛资格	ok
UI	lang0.pak	DST_BUDOKAI_PC_STATE_MINOR_ENTRY	Qualifier finalist	进入预赛者	进入预赛者	ok
UI	lang0.pak	DST_BUDOKAI_PC_STATE_NONE	N/A	不申请	N/A	ok
UI	lang0.pak	DST_BUDOKAI_PC_STATE_PRIZE_WINNER	Winner	获奖者	获奖者	ok
UI	lang0.pak	DST_BUDOKAI_PC_STATE_SEMIFINAL_ENTRY	Semi-finalist	准决胜入选	准决胜入选	ok
UI	lang0.pak	DST_BUDOKAI_PC_STATE_SEMIFINAL_WINNER	Runner-up	准优胜	准优胜	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_16	RO16		16强	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_32	RO32		32强	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_8	RO8		8强	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_END	All battles have ended.		所有战斗已结束。	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_FINAL_WAIT_LOSER	Upcoming: Final		即将开始：决赛	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_FINAL_WAIT_LOSER1	Stay & Be Rewarded		留下即可获得奖励	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MATCH_ALL_FINISHED	%s all finished		%s 全部结束	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MATCH_BEFORE_10SEC	10s %s goes into the arena		10秒后 %s 进入竞技场	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MATCH_DECISION_NEXT	%s will continue		%s 将继续	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MATCH_END	%s - %s Battle ended		%s - %s 战斗结束	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MATCH_LOSER	%s has Lost		%s 已落败	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MATCH_WINNER	%s has Won		%s 获胜	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MINOR	Qualifier		预选赛	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MINORMATCH_BEFORE_1MIN	Tournament starts soon		锦标赛即将开始	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MINORMATCH_BEFORE_1MIN2	Registration close soon		报名即将关闭	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MINORMATCH_ENTERING	Enter the Tournament		进入锦标赛	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_MINORMATCH_ENTERING2	Please Join		请加入	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_RECEIVE_NEWS	Budokai Announcement		武道会公告	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_SEMI_FINAL_RUNNING	Semi Final On-Going		半决赛进行中	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_SF	Semi-final		半决赛	ok
UI	lang0.pak	DST_BUDOKAI_PROGRESS_MESSAGE_START	The Tournament is about to Start!		锦标赛即将开始！	ok
UI	lang0.pak	DST_BUDOKAI_REGISTER_INFO_TITLE	Registration period		报名期间	ok
UI	lang0.pak	DST_BUDOKAI_REQUEST_FINAL	Final		决赛	ok
UI	lang0.pak	DST_BUDOKAI_REQUEST_MAJOR	Qualification		资格赛	ok
UI	lang0.pak	DST_BUDOKAI_REQUEST_MINOR	Preliminary		预赛	ok
UI	lang0.pak	DST_BUDOKAI_REQUEST_TITLE	Application		申请	ok
UI	lang0.pak	DST_BUDOKAI_REQ_BUTTON_ACCEPT	yes	报名	是	ok
UI	lang0.pak	DST_BUDOKAI_REQ_BUTTON_CANCEL	Cancel	取消报名	取消	ok
UI	lang0.pak	DST_BUDOKAI_RESULT_MESSAGE	"[font size=""14""color=""000000""]That was a great battle![br][br]You'll be moved out soon!"		"[font size=""14""color=""000000""]这是一场精彩的战斗！[br][br]你很快会被移出！"	ok
UI	lang0.pak	DST_BUDOKAI_RESULT_MESSAGE_FINAL	"[font size=""14""color=""000000""]What's this? Ladies and gentlemen we finally have a winner![br][br]That was amazing, congratulations!"		"[font size=""14""color=""000000""]各位观众，我们终于有获胜者了！[br][br]太精彩了，恭喜！"	ok
UI	lang0.pak	DST_BUDOKAI_RESULT_MESSAGE_SEMIFINAL_1	"[font size=""14""color=""000000""]What an amazing fight![br][br]It was worth seeing!"		"[font size=""14""color=""000000""]真是一场精彩的战斗！[br][br]这场值得一看！"	ok
UI	lang0.pak	DST_BUDOKAI_RESULT_MESSAGE_SEMIFINAL_2	"[font size=""14""color=""000000""]Next fight will start soon.[br][br]I wish you good luck and hope you win!"		"[font size=""14""color=""000000""]下一场战斗即将开始。[br][br]祝你好运，愿你获胜！"	ok
UI	lang0.pak	DST_BUDOKAI_RESULT_POINT_WINNER_GUIDE	%s team member %s must decide %d : %d.		%s 队伍成员 %s 必须决定 %d：%d。	ok
UI	lang0.pak	DST_BUDOKAI_SIDEICON_TITLE	Tenkaichi Budokai	天下第一武道会	天下第一武道会	ok
UI	lang0.pak	DST_FFA_ARENA_SIDEICON_TITLE	PvP Arena (FFA)		PvP竞技(FFA)	ok
UI	lang0.pak	DST_FFA_ARENA_NOTIFY_OPEN	Event window open. Registered: %d. Use Register in the side panel.		活动窗口已开放。已报名：%d。请在侧边面板报名。	ok
UI	lang0.pak	DST_FFA_ARENA_NOTIFY_READY	%d players registered. Teleport starts when the match begins.		已有 %d 名玩家报名。比赛开始时会传送。	ok
UI	lang0.pak	DST_FFA_ARENA_NOTIFY_COMBAT	FFA combat in progress. Fighters in arena: %d.		FFA战斗进行中。战斗者在竞技场：%d.	ok
